STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,PP_20m
06,09,5001500US0609,0609,C2,115,3239718832,140669150,55
06,07,5001500US0607,0607,C2,115,1421299398,13607918,70
01,03,5001500US0103,0103,C2,115,19538918675,470617474,31
34,07,5001500US3407,3407,C2,115,2512101051,47141303,33
42,14,5001500US4214,4214,C2,115,542048507,26842230,28
06,37,5001500US0637,0637,C2,115,143131705,351787,68
48,06,5001500US4806,4806,C2,115,5564726643,255608840,39
36,04,5001500US3604,3604,C2,115,286745402,168721690,70
06,06,5001500US0606,0606,C2,115,452858330,11191537,41
13,05,5001500US1305,1305,C2,115,686127322,5196810,69
06,29,5001500US0629,0629,C2,115,238354211,1621911,43
08,01,5001500US0801,0801,C2,115,491909051,7068941,25
39,14,5001500US3914,3914,C2,115,5063536361,3730727841,40
06,27,5001500US0627,0627,C2,115,1812630457,7549848,51
